"order_hour","t1_actual_min","t2_predicted_min","t1_minus_t2","t1_minus_t2_squared","mean_error","mean_squared_error"
"10:00","51038.415641","72595.03230766657","-21556.61666666664","464687722.11360997","-37.424681712962915","2175.3453409529307"
"11:00","47794.798688","67453.94868800003","-19659.14999999998","386482178.7224992","-34.9806939501779","1970.8166562870686"
"12:00","42313.729054","58586.91238733336","-16273.183333333349","264816495.80027828","-32.80883736559143","1810.8969270833331"
"13:00","36568.492227","49568.308893666675","-12999.816666666678","168995233.36694476","-30.95194444444447","1842.0231395502658"
"14:00","33537.583469","45765.43346900001","-12227.849999999988","149520315.6224997","-31.035152284263926","1726.6719070783977"
"15:00","33799.539810","46318.07314333336","-12518.53333333333","156713676.81777766","-31.69248945147678","1738.608004219408"
"16:00","33529.638523","45821.97185633335","-12292.333333333338","151101458.77777788","-30.276683087027926","1705.1487958401763"
"17:00","39837.300176","52273.950175999955","-12436.650000000005","154670263.22250012","-27.698552338530078","1713.441030066817"
"18:00","36562.709474","47698.60947400002","-11135.899999999987","124008268.8099997","-26.26391509433959","1461.6936713836485"
"19:00","47379.864470","60194.68113666666","-12814.816666666658","164219526.20027757","-23.731141975308628","9214.724398662554"
"20:00","30064.882251","39798.03225099998","-9733.149999999998","94734208.92249995","-26.234905660377354","1476.490381102126"
"21:00","9963.285900","-14228.6141","24191.899999999998","585248025.6099999","172.7992857142857","271138.4672936508"
"22:00","1000.517743","-7230.032257000001","8230.550000000001","67741953.30250002","514.4093750000001","724915.7869965278"
"6:00","683.182234","1036.182234","-353","124609","-50.42857142857143","2889.175396825397"
"7:00","39142.001868","56313.85186799996","-17171.849999999995","294872432.42249984","-46.285309973045806","2938.7894886193476"
"8:00","35787.568346","51219.63501266667","-15432.066666666664","238148681.60444435","-41.15217777777777","2451.1380014814818"
"9:00","50175.397021","73912.59702099992","-23737.19999999999","563454663.8399996","-39.49617304492511","2249.3917332224055"
":00",NULL,NULL,NULL,NULL,NULL,NULL
